evolution$generation,evolution$evaluated,unemploymentShare,workPermitShare,perceivedInformalityCoef,jobSimilarityHierarchy,socialNetworkCoef,socialNetworkHierarchy,socialNetworkMode,informalityError,unemploymentError,evolution$samples,workPermitShare,socialNetworkHierarchy,unemploymentShare,iterations,unemploymentError,perceivedInformalityCoef,jobsNumber,socialNetworkMode,informalityError,replication,jobSimilarityHierarchy,socialNetworkCoef,workersNumber,jobSeekingNumber
600,600,0.2500936059929244,0.1,8.549821571824857,0.0,-1.4399015320171547,4.159192439816644,random,0.0014880618060609252,0.0347011952191236,2,"[0.1,0.1]","[4.159192439816644,4.159192439816644]","[0.2500936059929244,0.2500936059929244]","[500,500]","[0.030298804780876543,0.039103585657370654]","[8.549821571824857,8.549821571824857]","[200,200]","[random,random]","[1.0279165167359494E-4,0.0028733319604482555]","[3583759408408050575,6765353073116755975]","[0.0,0.0]","[-1.4399015320171547,-1.4399015320171547]","[100,100]","[20,20]"
600,600,0.28475406040718615,0.9,-5.967413379906571,5.0,-1.0856278555101575,2.1666200886896796,random,0.6358352368159804,0.07643426294820718,7,"[0.9,0.9,0.9,0.9,0.9,0.9,0.9]","[2.1666200886896796,2.1666200886896796,2.1666200886896796,2.1666200886896796,2.1666200886896796,2.1666200886896796,2.1666200886896796]","[0.28475406040718615,0.28475406040718615,0.28475406040718615,0.28475406040718615,0.28475406040718615,0.28475406040718615,0.28475406040718615]","[500,500,500,500,500,500,500]","[0.07252988047808764,0.0709760956175299,0.07643426294820718,0.07862549800796828,0.07890438247011947,0.0765139442231074,0.06814741035856595]","[-5.967413379906571,-5.967413379906571,-5.967413379906571,-5.967413379906571,-5.967413379906571,-5.967413379906571,-5.967413379906571]","[200,200,200,200,200,200,200]","[random,random,random,random,random,random,random]","[0.636,0.6357726827033756,0.6358869257270435,0.6349536048199423,0.6357229705848547,0.6358352368159804,0.6358735691914998]","[8796624062919058740,3797012683570821978,2313822944526182909,4746996346228614906,-3397959995905760967,-1355886137431150309,3058176446556548970]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[-1.0856278555101575,-1.0856278555101575,-1.0856278555101575,-1.0856278555101575,-1.0856278555101575,-1.0856278555101575,-1.0856278555101575]","[100,100,100,100,100,100,100]","[20,20,20,20,20,20,20]"
600,600,0.2591653950337226,0.9,-4.200940434007384,5.0,-3.2463338675312468,3.610380921231204,proximity,0.6030584593261135,3.784860557769776E-4,1,"[0.9]","[3.610380921231204]","[0.2591653950337226]","[500]","[3.784860557769776E-4]","[-4.200940434007384]","[200]","[proximity]","[0.6030584593261135]","[-2717526667476193555]","[5.0]","[-3.2463338675312468]","[100]","[20]"
600,600,0.34215208594280544,0.9,-5.02991422718287,0.0,-4.772804481136845,3.032138671244402,random,0.19416378462923667,0.19161354581673326,7,"[0.9,0.9,0.9,0.9,0.9,0.9,0.9]","[3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402]","[0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544]","[500,500,500,500,500,500,500]","[0.1832470119521916,0.19161354581673326,0.19802788844621536,0.18623505976095664,0.1830478087649405,0.19324701195219138,0.19340637450199236]","[-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287]","[200,200,200,200,200,200,200]","[random,random,random,random,random,random,random]","[0.22166477275563623,0.23641035778892616,0.22151956406291406,0.18017044722630426,0.18053281758771922,0.16293716939783498,0.19416378462923667]","[-9035351394611480119,-8215120897407997190,5049433652761669036,3461651614253262829,8667111635007578737,-6403883944051033022,-3904694632100716107]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845]","[100,100,100,100,100,100,100]","[20,20,20,20,20,20,20]"
600,600,0.259152252196543,0.9,-4.1965662729109106,5.0,-3.219563518081687,3.6189821016255177,random,0.5906375738857318,0.0030478087649404018,3,"[0.9,0.9,0.9]","[3.6189821016255177,3.6189821016255177,3.6189821016255177]","[0.259152252196543,0.259152252196543,0.259152252196543]","[500,500,500]","[4.183266932270835E-4,0.0030478087649404018,0.007151394422310997]","[-4.1965662729109106,-4.1965662729109106,-4.1965662729109106]","[200,200,200]","[random,random,random]","[0.5861858940518524,0.5963114964215835,0.5906375738857318]","[-2003033727829532253,5668038505176444731,-283276287164014023]","[5.0,5.0,5.0]","[-3.219563518081687,-3.219563518081687,-3.219563518081687]","[100,100,100]","[20,20,20]"
600,600,0.18494166866186068,0.9,-2.4177735967933263,0.0,-3.439807663369269,1.6098062609306272,proximity,0.15850337968710865,0.206593625498008,6,"[0.9,0.9,0.9,0.9,0.9,0.9]","[1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272,1.6098062609306272]","[0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068,0.18494166866186068]","[500,500,500,500,500,500]","[0.206394422310757,0.21077689243027892,0.2060358565737052,0.2104183266932271,0.2030876494023905,0.206792828685259]","[-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263,-2.4177735967933263]","[200,200,200,200,200,200]","[proximity,proximity,proximity,proximity,proximity,proximity]","[0.198583038046653,0.16750464058401693,0.1611683621074982,0.13590286661567152,0.11183665936370313,0.1558383972667191]","[4049269753306097070,8247637756948987603,-6369040897162469316,-2384475223052962465,-5581168306762597547,-352591117132907299]","[0.0,0.0,0.0,0.0,0.0,0.0]","[-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269,-3.439807663369269]","[100,100,100,100,100,100]","[20,20,20,20,20,20]"
600,600,0.42454578022487277,0.9,-7.505127167110315,0.0,3.6406254365825284,0.8819376264108729,proximity,0.14283339562995304,0.30551792828685265,6,"[0.9,0.9,0.9,0.9,0.9,0.9]","[0.8819376264108729,0.8819376264108729,0.8819376264108729,0.8819376264108729,0.8819376264108729,0.8819376264108729]","[0.42454578022487277,0.42454578022487277,0.42454578022487277,0.42454578022487277,0.42454578022487277,0.42454578022487277]","[500,500,500,500,500,500]","[0.30340637450199237,0.30503984063745027,0.30599601593625503,0.30472111553784864,0.3102589641434268,0.30818725099601585]","[-7.505127167110315,-7.505127167110315,-7.505127167110315,-7.505127167110315,-7.505127167110315,-7.505127167110315]","[200,200,200,200,200,200]","[proximity,proximity,proximity,proximity,proximity,proximity]","[0.08100049739353771,0.19130618670595345,0.3869478478394752,0.061151209019548625,0.24055643545712957,0.09436060455395262]","[-8841703225557703192,-6457152555417649510,-8669339485222624401,6080858293857040410,3752181596650416889,-5165850681667637507]","[0.0,0.0,0.0,0.0,0.0,0.0]","[3.6406254365825284,3.6406254365825284,3.6406254365825284,3.6406254365825284,3.6406254365825284,3.6406254365825284]","[100,100,100,100,100,100]","[20,20,20,20,20,20]"
600,600,0.41912625810483517,0.9,3.3675531212050576,0.0,-8.364626421772655,0.4300289802799259,proximity,0.13491281660764454,0.2940836653386453,5,"[0.9,0.9,0.9,0.9,0.9]","[0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259]","[0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517]","[500,500,500,500,500]","[0.2918525896414341,0.29217131474103575,0.2940836653386453,0.2983466135458165,0.3020119521912352]","[3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576]","[200,200,200,200,200]","[proximity,proximity,proximity,proximity,proximity]","[0.1128080516709069,0.13572571001387662,0.13491281660764454,0.17111032602260823,0.1256178017413972]","[3827886421301108980,-4622378830215235879,3980903804233005783,2305475759991532726,587663889404080770]","[0.0,0.0,0.0,0.0,0.0]","[-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655]","[100,100,100,100,100]","[20,20,20,20,20]"
600,600,0.7738520840829789,0.9,8.924571545533894,0.0,10.0,2.2213700993047363,proximity,0.04717577446925175,0.5169123505976095,3,"[0.9,0.9,0.9]","[2.2213700993047363,2.2213700993047363,2.2213700993047363]","[0.7738520840829789,0.7738520840829789,0.7738520840829789]","[500,500,500]","[0.5169123505976095,0.517788844621514,0.5168725099601594]","[8.924571545533894,8.924571545533894,8.924571545533894]","[200,200,200]","[proximity,proximity,proximity]","[0.04717577446925175,0.08677465169701726,0.011202230970434768]","[-5601023773026993960,-4868144670852795262,8223787851220396462]","[0.0,0.0,0.0]","[10.0,10.0,10.0]","[100,100,100]","[20,20,20]"
600,600,0.4771499648492372,0.1,-2.517877609693249,0.0,3.5153776595457753,1.7668950349818933,random,0.0856970486698353,0.3508764940239042,4,"[0.1,0.1,0.1,0.1]","[1.7668950349818933,1.7668950349818933,1.7668950349818933,1.7668950349818933]","[0.4771499648492372,0.4771499648492372,0.4771499648492372,0.4771499648492372]","[500,500,500,500]","[0.3623705179282871,0.352290836653386,0.3494621513944224,0.34663346613545787]","[-2.517877609693249,-2.517877609693249,-2.517877609693249,-2.517877609693249]","[200,200,200,200]","[random,random,random,random]","[0.013268905685426935,0.22305235160204617,0.09278469303182713,0.07860940430784347]","[-1445368960303874858,-77376263757749394,-4063558738711072420,7177406299277175336]","[0.0,0.0,0.0,0.0]","[3.5153776595457753,3.5153776595457753,3.5153776595457753,3.5153776595457753]","[100,100,100,100]","[20,20,20,20]"
