evolution$generation,evolution$evaluated,unemploymentShare,workPermitShare,perceivedInformalityCoef,jobSimilarityHierarchy,socialNetworkCoef,socialNetworkHierarchy,socialNetworkMode,informalityError,unemploymentError,evolution$samples,workPermitShare,socialNetworkHierarchy,unemploymentShare,iterations,unemploymentError,perceivedInformalityCoef,jobsNumber,socialNetworkMode,informalityError,replication,jobSimilarityHierarchy,socialNetworkCoef,workersNumber,jobSeekingNumber
200,200,0.2587587046080605,0.9,-4.21192110537604,0.0,-3.458577749747624,3.489260460344241,proximity,0.14631145446021798,0.01001992031872509,1,"[0.9]","[3.489260460344241]","[0.2587587046080605]","[500]","[0.01001992031872509]","[-4.21192110537604]","[200]","[proximity]","[0.14631145446021798]","[2545896091108883076]","[0.0]","[-3.458577749747624]","[100]","[20]"
200,200,0.31784829902293216,0.9,-6.423799584817411,0.0,0.5683125333373606,3.562500016940424,random,0.03283197527435311,0.13938247011952223,1,"[0.9]","[3.562500016940424]","[0.31784829902293216]","[500]","[0.13938247011952223]","[-6.423799584817411]","[200]","[random]","[0.03283197527435311]","[-1645353357595694865]","[0.0]","[0.5683125333373606]","[100]","[20]"
200,200,0.34215208594280544,0.9,-5.02991422718287,0.0,-4.772804481136845,3.032138671244402,random,0.22151956406291406,0.18623505976095664,5,"[0.9,0.9,0.9,0.9,0.9]","[3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402,3.032138671244402]","[0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544,0.34215208594280544]","[500,500,500,500,500]","[0.1832470119521916,0.19161354581673326,0.19802788844621536,0.18623505976095664,0.1830478087649405]","[-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287,-5.02991422718287]","[200,200,200,200,200]","[random,random,random,random,random]","[0.22166477275563623,0.23641035778892616,0.22151956406291406,0.18017044722630426,0.18053281758771922]","[-9035351394611480119,-8215120897407997190,5049433652761669036,3461651614253262829,8667111635007578737]","[0.0,0.0,0.0,0.0,0.0]","[-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845,-4.772804481136845]","[100,100,100,100,100]","[20,20,20,20,20]"
200,200,0.14595625218716607,0.9,-2.84921116603424,0.0,-3.455285028482993,2.1573856888234264,proximity,0.1729770239487755,0.22354581673306773,4,"[0.9,0.9,0.9,0.9]","[2.1573856888234264,2.1573856888234264,2.1573856888234264,2.1573856888234264]","[0.14595625218716607,0.14595625218716607,0.14595625218716607,0.14595625218716607]","[500,500,500,500]","[0.22233067729083666,0.22372509960159362,0.22420318725099603,0.22336653386454183]","[-2.84921116603424,-2.84921116603424,-2.84921116603424,-2.84921116603424]","[200,200,200,200]","[proximity,proximity,proximity,proximity]","[0.2034672503984688,0.17387945634416024,0.17207459155339078,0.1570220351227707]","[-4805397103116082307,8194053448648926754,-1980969380357427976,-4880849479534300072]","[0.0,0.0,0.0,0.0]","[-3.455285028482993,-3.455285028482993,-3.455285028482993,-3.455285028482993]","[100,100,100,100]","[20,20,20,20]"
200,200,0.30653484675164266,0.9,-4.6742530993050995,0.0,-3.444221227230403,3.5509594099619406,random,0.18322080993795586,0.1208565737051791,2,"[0.9,0.9]","[3.5509594099619406,3.5509594099619406]","[0.30653484675164266,0.30653484675164266]","[500,500]","[0.12025896414342638,0.12145418326693183]","[-4.6742530993050995,-4.6742530993050995]","[200,200]","[random,random]","[0.22525230644808691,0.14118931342782481]","[-1997488719259227488,-1765303353539780499]","[0.0,0.0]","[-3.444221227230403,-3.444221227230403]","[100,100]","[20,20]"
200,200,0.5694521409081823,0.9,-7.288479342969411,5.0,3.059073058615809,0.9075158917411512,random,0.045196782291981236,0.4198804780876493,2,"[0.9,0.9]","[0.9075158917411512,0.9075158917411512]","[0.5694521409081823,0.5694521409081823]","[500,500]","[0.41982071713147384,0.4199402390438247]","[-7.288479342969411,-7.288479342969411]","[200,200]","[random,random]","[0.04838251956614886,0.04201104501781361]","[2431678319713137090,6061198892345243289]","[5.0,5.0]","[3.059073058615809,3.059073058615809]","[100,100]","[20,20]"
200,200,0.41912625810483517,0.9,3.3675531212050576,0.0,-8.364626421772655,0.4300289802799259,proximity,0.13491281660764454,0.2940836653386453,5,"[0.9,0.9,0.9,0.9,0.9]","[0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259,0.4300289802799259]","[0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517,0.41912625810483517]","[500,500,500,500,500]","[0.2918525896414341,0.29217131474103575,0.2940836653386453,0.2983466135458165,0.3020119521912352]","[3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576,3.3675531212050576]","[200,200,200,200,200]","[proximity,proximity,proximity,proximity,proximity]","[0.1128080516709069,0.13572571001387662,0.13491281660764454,0.17111032602260823,0.1256178017413972]","[3827886421301108980,-4622378830215235879,3980903804233005783,2305475759991532726,587663889404080770]","[0.0,0.0,0.0,0.0,0.0]","[-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655,-8.364626421772655]","[100,100,100,100,100]","[20,20,20,20,20]"
200,200,0.1567493384912167,0.9,-3.032420780170055,0.0,-3.455136237742326,2.2423011589989876,proximity,0.12032730438667014,0.22312749003984064,2,"[0.9,0.9]","[2.2423011589989876,2.2423011589989876]","[0.1567493384912167,0.1567493384912167]","[500,500]","[0.22300796812749005,0.22324701195219124]","[-3.032420780170055,-3.032420780170055]","[200,200]","[proximity,proximity]","[0.1062544156628194,0.13440019311052087]","[-8999096761375837475,4364238268035772345]","[0.0,0.0]","[-3.455136237742326,-3.455136237742326]","[100,100]","[20,20]"
200,200,0.18494166866186068,0.9,-2.4177735967933263,0.0,-3.439807663369269,1.6098062609306272,proximity,0.16750464058401693,0.206394422310757,3,"[0.9,0.9,0.9]","[1.6098062609306272,1.6098062609306272,1.6098062609306272]","[0.18494166866186068,0.18494166866186068,0.18494166866186068]","[500,500,500]","[0.206394422310757,0.21077689243027892,0.2060358565737052]","[-2.4177735967933263,-2.4177735967933263,-2.4177735967933263]","[200,200,200]","[proximity,proximity,proximity]","[0.198583038046653,0.16750464058401693,0.1611683621074982]","[4049269753306097070,8247637756948987603,-6369040897162469316]","[0.0,0.0,0.0]","[-3.439807663369269,-3.439807663369269,-3.439807663369269]","[100,100,100]","[20,20,20]"
200,200,0.46879237817691377,0.1,-2.5915004398162766,5.0,1.04293717427681,2.3181387897996175,proximity,0.08950164116888476,0.35139442231075696,2,"[0.1,0.1]","[2.3181387897996175,2.3181387897996175]","[0.46879237817691377,0.46879237817691377]","[500,500]","[0.3513745019920317,0.35141434262948223]","[-2.5915004398162766,-2.5915004398162766]","[200,200]","[proximity,proximity]","[0.09355486816077951,0.08544841417699]","[2513590140090854206,20036012429130057]","[5.0,5.0]","[1.04293717427681,1.04293717427681]","[100,100]","[20,20]"
