evolution$generation,evolution$evaluated,unemploymentShare,workPermitShare,jobSeekingNumber,perceivedInformalityCoef,jobSimilarityHierarchy,socialNetworkCoef,socialNetworkHierarchy,socialNetworkMode,objective$informalityError,objective$unemploymentError,evolution$samples,workPermitShare,socialNetworkHierarchy,unemploymentShare,iterations,unemploymentError,perceivedInformalityCoef,jobsNumber,socialNetworkMode,informalityError,replication,jobSimilarityHierarchy,socialNetworkCoef,workersNumber,jobSeekingNumber
21000,997015,0.32058326078812205,0.47031038292510907,25,1.98681400705809,5.0,-6.652956759106768,1.2154257841446727,proximity,1.3194573290076228E-6,0.022370517928287093,1,"[0.47031038292510907]","[1.2154257841446727]","[0.32058326078812205]","[500]","[0.022370517928287093]","[1.98681400705809]","[200]","[proximity]","[1.3194573290076228E-6]","[-3774574904959165706]","[5.0]","[-6.652956759106768]","[100]","[25]"
21000,997015,0.3209086382070579,0.459702305934505,25,7.956693551337651,5.0,4.509966482567764,1.2406189190134922,random,0.012977616449117602,1.9920318724858666E-5,1,"[0.459702305934505]","[1.2406189190134922]","[0.3209086382070579]","[500]","[1.9920318724858666E-5]","[7.956693551337651]","[200]","[random]","[0.012977616449117602]","[2450530249026338405]","[5.0]","[4.509966482567764]","[100]","[25]"
21000,997015,0.32214257798261636,0.6644863398973746,25,1.974776107920606,5.0,-6.962953749121738,1.1203245372758326,proximity,0.0039291291287755215,0.006115537848605565,2,"[0.6644863398973746,0.6644863398973746]","[1.1203245372758326,1.1203245372758326]","[0.32214257798261636,0.32214257798261636]","[500,500]","[1.9920318724914177E-5,0.012211155378486216]","[1.974776107920606,1.974776107920606]","[200,200]","[proximity,proximity]","[0.002839559515054879,0.005018698742496164]","[8706607675924356523,7146152392638904734]","[5.0,5.0]","[-6.962953749121738,-6.962953749121738]","[100,100]","[25,25]"
21000,997015,0.322843373742256,0.5764771130025543,25,1.8905868147053226,5.0,-5.6771737195477305,1.5835285643952859,random,0.0088233195960431,3.386454183265386E-4,3,"[0.5764771130025543,0.5764771130025543,0.5764771130025543]","[1.5835285643952859,1.5835285643952859,1.5835285643952859]","[0.322843373742256,0.322843373742256,0.322843373742256]","[500,500,500]","[2.5896414342635454E-4,3.386454183265386E-4,0.01093625498007958]","[1.8905868147053226,1.8905868147053226,1.8905868147053226]","[200,200,200]","[random,random,random]","[8.892345898058318E-4,0.0088233195960431,0.034349788726841135]","[6966562053639926101,-4501185828256671168,2110868125484513240]","[5.0,5.0,5.0]","[-5.6771737195477305,-5.6771737195477305,-5.6771737195477305]","[100,100,100]","[25,25,25]"
21000,997015,0.32343860050230555,0.7211359975414836,25,1.6156323293342574,5.0,-7.242143697446105,1.2117183882654383,proximity,0.039492152239783196,0.0021314741035854956,5,"[0.7211359975414836,0.7211359975414836,0.7211359975414836,0.7211359975414836,0.7211359975414836]","[1.2117183882654383,1.2117183882654383,1.2117183882654383,1.2117183882654383,1.2117183882654383]","[0.32343860050230555,0.32343860050230555,0.32343860050230555,0.32343860050230555,0.32343860050230555]","[500,500,500,500,500]","[0.00101593625498006,0.0013346613545816843,0.007151394422310803,0.0021314741035854956,0.0061952191235059295]","[1.6156323293342574,1.6156323293342574,1.6156323293342574,1.6156323293342574,1.6156323293342574]","[200,200,200,200,200]","[proximity,proximity,proximity,proximity,proximity]","[0.027729297290604027,0.08172234548142043,0.039492152239783196,0.19811903652073326,0.0310216365355227]","[7764061784976144299,4711517262891859115,8956583301448962248,1237591884778113769,-2142391431528390127]","[5.0,5.0,5.0,5.0,5.0]","[-7.242143697446105,-7.242143697446105,-7.242143697446105,-7.242143697446105,-7.242143697446105]","[100,100,100,100,100]","[25,25,25,25,25]"
21000,997015,0.32367857385206544,0.6072631892076569,25,1.936437332042079,5.0,-6.225567221621917,1.0971223518882036,proximity,0.009352972942164334,0.002509960159362598,6,"[0.6072631892076569,0.6072631892076569,0.6072631892076569,0.6072631892076569,0.6072631892076569,0.6072631892076569]","[1.0971223518882036,1.0971223518882036,1.0971223518882036,1.0971223518882036,1.0971223518882036,1.0971223518882036]","[0.32367857385206544,0.32367857385206544,0.32367857385206544,0.32367857385206544,0.32367857385206544,0.32367857385206544]","[500,500,500,500,500,500]","[0.0014541832669324462,0.0010159362549801154,0.00464143426294808,0.0036454183266932394,9.362549800797926E-4,0.00356573705179275]","[1.936437332042079,1.936437332042079,1.936437332042079,1.936437332042079,1.936437332042079,1.936437332042079]","[200,200,200,200,200,200]","[proximity,proximity,proximity,proximity,proximity,proximity]","[2.0219680803712503E-4,3.51044469734052E-4,0.026953970610766875,0.006627773173371043,0.012078172710957624,0.023348467910419113]","[6227482920036797084,3242318990352619407,2654818270984682139,-6347543334059101977,8694272394947907926,-993584789025959987]","[5.0,5.0,5.0,5.0,5.0,5.0]","[-6.225567221621917,-6.225567221621917,-6.225567221621917,-6.225567221621917,-6.225567221621917,-6.225567221621917]","[100,100,100,100,100,100]","[25,25,25,25,25,25]"
21000,997015,0.29868761596711746,0.24457144446740064,23,1.312813997325959,5.0,-2.5977125378559265,3.3563905132301257,random,0.021604228703708483,0.0032868525896414535,11,"[0.24457144446740064,0.24457144446740064,0.24457144446740064,0.24457144446740064,0.24457144446740064,0.24457144446740064,0.24457144446740064,0.24457144446740064,0.24457144446740064,0.24457144446740064,0.24457144446740064]","[3.3563905132301257,3.3563905132301257,3.3563905132301257,3.3563905132301257,3.3563905132301257,3.3563905132301257,3.3563905132301257,3.3563905132301257,3.3563905132301257,3.3563905132301257,3.3563905132301257]","[0.29868761596711746,0.29868761596711746,0.29868761596711746,0.29868761596711746,0.29868761596711746,0.29868761596711746,0.29868761596711746,0.29868761596711746,0.29868761596711746,0.29868761596711746,0.29868761596711746]","[500,500,500,500,500,500,500,500,500,500,500]","[1.9920318724997443E-5,0.005119521912350655,0.0032868525896414535,0.004960159362549926,0.001772908366533904,0.0011752988047807889,0.008904382470119515,0.0010557768924303323,0.006553784860557882,1.792828685260317E-4,0.006394422310756959]","[1.312813997325959,1.312813997325959,1.312813997325959,1.312813997325959,1.312813997325959,1.312813997325959,1.312813997325959,1.312813997325959,1.312813997325959,1.312813997325959,1.312813997325959]","[200,200,200,200,200,200,200,200,200,200,200]","[random,random,random,random,random,random,random,random,random,random,random]","[8.170224759717626E-4,0.00870329480281229,0.04791739499620784,0.005620892266352984,0.024462584048635272,0.011501911442582002,0.027790440542679984,0.040936846998098075,0.036020002541285234,0.00930379791412006,0.021604228703708483]","[556627729176268356,-8391937108985602869,-2679795322331439737,6294053501224382504,286953438915474448,-8385772659931656555,-2558211803934437806,4998713809098371365,7660925445676606665,2729169705028006558,-6078046608022880509]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[-2.5977125378559265,-2.5977125378559265,-2.5977125378559265,-2.5977125378559265,-2.5977125378559265,-2.5977125378559265,-2.5977125378559265,-2.5977125378559265,-2.5977125378559265,-2.5977125378559265,-2.5977125378559265]","[100,100,100,100,100,100,100,100,100,100,100]","[23,23,23,23,23,23,23,23,23,23,23]"
21000,997015,0.32122425396047194,0.797365324120621,25,1.979626087149363,5.0,-6.569300704070952,1.2309871135725527,random,0.041293429394430814,0.00264940239043826,17,"[0.797365324120621,0.797365324120621,0.797365324120621,0.797365324120621,0.797365324120621,0.797365324120621,0.797365324120621,0.797365324120621,0.797365324120621,0.797365324120621,0.797365324120621,0.797365324120621,0.797365324120621,0.797365324120621,0.797365324120621,0.797365324120621,0.797365324120621]","[1.2309871135725527,1.2309871135725527,1.2309871135725527,1.2309871135725527,1.2309871135725527,1.2309871135725527,1.2309871135725527,1.2309871135725527,1.2309871135725527,1.2309871135725527,1.2309871135725527,1.2309871135725527,1.2309871135725527,1.2309871135725527,1.2309871135725527,1.2309871135725527,1.2309871135725527]","[0.32122425396047194,0.32122425396047194,0.32122425396047194,0.32122425396047194,0.32122425396047194,0.32122425396047194,0.32122425396047194,0.32122425396047194,0.32122425396047194,0.32122425396047194,0.32122425396047194,0.32122425396047194,0.32122425396047194,0.32122425396047194,0.32122425396047194,0.32122425396047194,0.32122425396047194]","[500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500]","[1.792828685259762E-4,3.7848605577700534E-4,0.0019721115537849054,0.003366533864541721,0.008545816733067924,0.0023306772908365803,0.005199203187250978,0.011055776892430286,0.0021314741035856066,0.002848605577689123,0.0016932270916334147,0.011095617529880503,0.005239043824701084,0.0010557768924303046,0.005239043824701334,0.00264940239043826,0.0011354581673306274]","[1.979626087149363,1.979626087149363,1.979626087149363,1.979626087149363,1.979626087149363,1.979626087149363,1.979626087149363,1.979626087149363,1.979626087149363,1.979626087149363,1.979626087149363,1.979626087149363,1.979626087149363,1.979626087149363,1.979626087149363,1.979626087149363,1.979626087149363]","[200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200]","[random,random,random,random,random,random,random,random,random,random,random,random,random,random,random,random,random]","[0.002222267806443745,0.05063280416378019,0.0016563001834447588,0.062211387744456836,0.03059066320462117,0.041293429394430814,0.05477178797610077,0.04030104804320106,0.04298010882365677,0.002038105341844565,0.08781188405078921,0.018562178198704593,0.05566864590516807,0.02098960008687878,0.0778329402526094,0.03387199937776514,0.059764585336844755]","[838821358240000157,1034310698778290177,-8876011093488593202,-754209855939346835,-756841458929138553,4399148870726617763,-8068670522421717797,-7086217836169319545,-304210075791583708,-5089545965842850835,3261530243119420336,-5208982747270931415,2608522403889257302,-6017004422173792743,-2481039208101553763,211390223507666440,-3350578394850336681]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[-6.569300704070952,-6.569300704070952,-6.569300704070952,-6.569300704070952,-6.569300704070952,-6.569300704070952,-6.569300704070952,-6.569300704070952,-6.569300704070952,-6.569300704070952,-6.569300704070952,-6.569300704070952,-6.569300704070952,-6.569300704070952,-6.569300704070952,-6.569300704070952,-6.569300704070952]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25]"
21000,997015,0.2966944635457769,0.24231460376027084,23,1.274405522417215,5.0,-2.5374897098703446,3.3172778764446456,random,0.020246143311501708,0.0032868525896414674,14,"[0.24231460376027084,0.24231460376027084,0.24231460376027084,0.24231460376027084,0.24231460376027084,0.24231460376027084,0.24231460376027084,0.24231460376027084,0.24231460376027084,0.24231460376027084,0.24231460376027084,0.24231460376027084,0.24231460376027084,0.24231460376027084]","[3.3172778764446456,3.3172778764446456,3.3172778764446456,3.3172778764446456,3.3172778764446456,3.3172778764446456,3.3172778764446456,3.3172778764446456,3.3172778764446456,3.3172778764446456,3.3172778764446456,3.3172778764446456,3.3172778764446456,3.3172778764446456]","[0.2966944635457769,0.2966944635457769,0.2966944635457769,0.2966944635457769,0.2966944635457769,0.2966944635457769,0.2966944635457769,0.2966944635457769,0.2966944635457769,0.2966944635457769,0.2966944635457769,0.2966944635457769,0.2966944635457769,0.2966944635457769]","[500,500,500,500,500,500,500,500,500,500,500,500,500,500]","[0.0033665338645418597,8.16733067729225E-4,0.002848605577689428,0.006314741035856525,0.001254980079681306,0.005996015936254928,0.007868525896414402,0.007868525896414374,5.776892430280067E-4,0.016474103585657512,0.007310756972111532,0.0020916334661354175,0.003207171314741075,0.0029681274900399124]","[1.274405522417215,1.274405522417215,1.274405522417215,1.274405522417215,1.274405522417215,1.274405522417215,1.274405522417215,1.274405522417215,1.274405522417215,1.274405522417215,1.274405522417215,1.274405522417215,1.274405522417215,1.274405522417215]","[200,200,200,200,200,200,200,200,200,200,200,200,200,200]","[random,random,random,random,random,random,random,random,random,random,random,random,random,random]","[0.027092988461675627,0.006314661231065721,0.03693470983407765,0.0022585848170076916,0.005480444764046299,0.015494187423593986,0.07470262890536894,0.03859048093572409,0.022430142572467004,0.033558071419014956,0.012482655794010256,2.053651054485517E-4,0.01806214405053641,0.0575626984935082]","[-6991447364450819249,-8352022134560295364,1271431020155265417,8229744491617568671,-3292154550000564039,7677568557182470582,1043510303726840316,4885549715673670537,8350165760935167959,-8559251682175064020,4371276962045525022,6250754077195989023,-5177829570310645873,-8603930043896774356]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[-2.5374897098703446,-2.5374897098703446,-2.5374897098703446,-2.5374897098703446,-2.5374897098703446,-2.5374897098703446,-2.5374897098703446,-2.5374897098703446,-2.5374897098703446,-2.5374897098703446,-2.5374897098703446,-2.5374897098703446,-2.5374897098703446,-2.5374897098703446]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[23,23,23,23,23,23,23,23,23,23,23,23,23,23]"
21000,997015,0.3234495069485046,0.566464392886122,25,1.9332863732632006,5.0,-5.880510344885136,1.0803111130791176,random,0.015082777692137284,0.003645418326693295,19,"[0.566464392886122,0.566464392886122,0.566464392886122,0.566464392886122,0.566464392886122,0.566464392886122,0.566464392886122,0.566464392886122,0.566464392886122,0.566464392886122,0.566464392886122,0.566464392886122,0.566464392886122,0.566464392886122,0.566464392886122,0.566464392886122,0.566464392886122,0.566464392886122,0.566464392886122]","[1.0803111130791176,1.0803111130791176,1.0803111130791176,1.0803111130791176,1.0803111130791176,1.0803111130791176,1.0803111130791176,1.0803111130791176,1.0803111130791176,1.0803111130791176,1.0803111130791176,1.0803111130791176,1.0803111130791176,1.0803111130791176,1.0803111130791176,1.0803111130791176,1.0803111130791176,1.0803111130791176,1.0803111130791176]","[0.3234495069485046,0.3234495069485046,0.3234495069485046,0.3234495069485046,0.3234495069485046,0.3234495069485046,0.3234495069485046,0.3234495069485046,0.3234495069485046,0.3234495069485046,0.3234495069485046,0.3234495069485046,0.3234495069485046,0.3234495069485046,0.3234495069485046,0.3234495069485046,0.3234495069485046,0.3234495069485046,0.3234495069485046]","[500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500]","[1.99203187250252E-5,0.00197211155378485,2.191235059760821E-4,0.017669322709163188,0.006513944223107526,0.012808764940239165,5.976095617524213E-5,0.0013346613545816288,0.006513944223107526,0.006075697211155362,0.004601593625498085,6.573705179282463E-4,0.01045816733067731,0.011653386454182957,0.00946215139442233,0.003645418326693295,0.003326693227091726,0.003486055776892455,0.003286852589641648]","[1.9332863732632006,1.9332863732632006,1.9332863732632006,1.9332863732632006,1.9332863732632006,1.9332863732632006,1.9332863732632006,1.9332863732632006,1.9332863732632006,1.9332863732632006,1.9332863732632006,1.9332863732632006,1.9332863732632006,1.9332863732632006,1.9332863732632006,1.9332863732632006,1.9332863732632006,1.9332863732632006,1.9332863732632006]","[200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200]","[random,random,random,random,random,random,random,random,random,random,random,random,random,random,random,random,random,random,random]","[0.006172135093900855,0.0608067788030901,0.04427313879590583,0.01049034612353783,0.04382097492164777,0.015082777692137284,0.011448083707440881,0.008179490654930122,0.009454863279889258,0.04238107674887104,0.002952257911484457,0.014458361856513668,0.014551130418758607,0.006715781803021514,0.02706649107970316,0.039351868654160904,0.04736374638523455,0.051754205633346984,0.0363876850915279]","[7229124242815949880,-5998238023075906657,-3275497463363598822,-5353908240436838116,-1997555767702872717,3288990392689121402,-8003392151895311927,-2663665535911766071,-744729967578066913,1295117626370820224,-8521758000220209445,5231630769062727298,1394997427408029879,-5321609535620362219,-3613218605513679330,-3978274474359279542,6201914210496296641,-2451999943631286863,-2994367644993807002]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[-5.880510344885136,-5.880510344885136,-5.880510344885136,-5.880510344885136,-5.880510344885136,-5.880510344885136,-5.880510344885136,-5.880510344885136,-5.880510344885136,-5.880510344885136,-5.880510344885136,-5.880510344885136,-5.880510344885136,-5.880510344885136,-5.880510344885136,-5.880510344885136,-5.880510344885136,-5.880510344885136,-5.880510344885136]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]","[25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25]"
