id,informality,iterations,jobSeekingNumber,jobSimilarityHierarchy,jobsNumber,perceivedInformalityCoef,replication,socialNetworkCoef,socialNetworkHierarchy,socialNetworkMode,unemployment,unemploymentShare,workPermitShare,workersNumber,openmole$experiment
1,0.5298056699603334,500,20,1.0,200,-10.0,-7951089943272611942,-10.0,5.0,proximity,0.20211155378486045,0.25,0.5,100,19
2,0.925161548244285,500,20,1.0,200,-10.0,-7582783310966295434,-5.0,1.0,proximity,0.18047808764940237,0.25,0.5,100,22
2,0.9348044605058452,500,20,1.0,200,-10.0,-5106176285111632573,-5.0,1.0,proximity,0.21665338645418328,0.25,0.5,100,26
2,0.9359033921846052,500,20,1.0,200,-10.0,4848690860497048029,-5.0,1.0,proximity,0.19928286852589638,0.25,0.5,100,23
2,0.9139813474798608,500,20,1.0,200,-10.0,6965297485027685595,-5.0,1.0,proximity,0.18968127490039835,0.25,0.5,100,27
2,0.9423180011061152,500,20,1.0,200,-10.0,-7884893047114736269,-5.0,1.0,proximity,0.20844621513944225,0.25,0.5,100,24
2,0.9270142136596699,500,20,1.0,200,-10.0,-3442551293767143434,-5.0,1.0,proximity,0.1955378486055777,0.25,0.5,100,25
2,0.9362694710907244,500,20,1.0,200,-10.0,-7011354477455713997,-5.0,1.0,proximity,0.20549800796812745,0.25,0.5,100,29
2,0.9035614186826786,500,20,1.0,200,-10.0,451108920183409583,-5.0,1.0,proximity,0.19422310756972117,0.25,0.5,100,30
2,0.9261573506704741,500,20,1.0,200,-10.0,-3958339195604610408,-5.0,1.0,proximity,0.20629482071713154,0.25,0.5,100,28
2,0.9214517404824947,500,20,1.0,200,-10.0,-7044871171222814271,-5.0,1.0,proximity,0.19685258964143446,0.25,0.5,100,31
3,0.9053563519643849,500,20,1.0,200,-10.0,5456177724036643694,-5.0,5.0,proximity,0.20314741035856576,0.25,0.5,100,34
3,0.9211996202616928,500,20,1.0,200,-10.0,-7151021419942410872,-5.0,5.0,proximity,0.20171314741035873,0.25,0.5,100,33
3,0.5462155808000083,500,20,1.0,200,-10.0,-6442616034904721243,-5.0,5.0,proximity,0.2062948207171314,0.25,0.5,100,37
3,0.9226622420838305,500,20,1.0,200,-10.0,-3085708276186362774,-5.0,5.0,proximity,0.21079681274900391,0.25,0.5,100,32
3,0.8985694656219182,500,20,1.0,200,-10.0,-5709840609871118357,-5.0,5.0,proximity,0.20023904382470126,0.25,0.5,100,36
3,0.8962417507745898,500,20,1.0,200,-10.0,8691104816431310057,-5.0,5.0,proximity,0.20533864541832664,0.25,0.5,100,35
3,0.8865622999793983,500,20,1.0,200,-10.0,-5763634347456552751,-5.0,5.0,proximity,0.2029083665338645,0.25,0.5,100,38
3,0.898902841453209,500,20,1.0,200,-10.0,-6546512643321660597,-5.0,5.0,proximity,0.21083665338645416,0.25,0.5,100,41
3,0.9209099333662184,500,20,1.0,200,-10.0,-683951814123531027,-5.0,5.0,proximity,0.20031872509960155,0.25,0.5,100,39
3,0.5852571750509196,500,20,1.0,200,-10.0,-1954930273413465788,-5.0,5.0,proximity,0.1975697211155379,0.25,0.5,100,40
4,0.9999501992031873,500,20,1.0,200,-10.0,-2882311491359607375,0.0,1.0,proximity,0.19490039840637438,0.25,0.5,100,42
4,0.9999525706697021,500,20,1.0,200,-10.0,2799057335553208273,0.0,1.0,proximity,0.19155378486055755,0.25,0.5,100,44
4,0.9999468791500664,500,20,1.0,200,-10.0,929429897541576587,0.0,1.0,proximity,0.1961354581673306,0.25,0.5,100,46
4,0.9999446657813191,500,20,1.0,200,-10.0,-8471321362166423876,0.0,1.0,proximity,0.19896414342629484,0.25,0.5,100,45
4,0.999799295560968,500,20,1.0,200,-10.0,-205488901852592042,0.0,1.0,proximity,0.21314741035856574,0.25,0.5,100,50
4,0.9996070591528192,500,20,1.0,200,-10.0,5648633034739756824,0.0,1.0,proximity,0.19350597609561748,0.25,0.5,100,43
4,1.0,500,20,1.0,200,-10.0,3581665421988495754,0.0,1.0,proximity,0.20039840637450188,0.25,0.5,100,47
4,1.0,500,20,1.0,200,-10.0,8446399132535803181,0.0,1.0,proximity,0.2035059760956176,0.25,0.5,100,49
4,1.0,500,20,1.0,200,-10.0,6498383263686246715,0.0,1.0,proximity,0.20533864541832667,0.25,0.5,100,48
4,0.9998120515057238,500,20,1.0,200,-10.0,8428021130084225227,0.0,1.0,proximity,0.21346613545816742,0.25,0.5,100,51
5,1.0,500,20,1.0,200,-10.0,-7087205733485130421,0.0,5.0,proximity,0.19318725099601586,0.25,0.5,100,54
5,1.0,500,20,1.0,200,-10.0,-1533933813121527513,0.0,5.0,proximity,0.2041832669322708,0.25,0.5,100,55
5,1.0,500,20,1.0,200,-10.0,-5058228142806518288,0.0,5.0,proximity,0.19231075697211164,0.25,0.5,100,53
5,0.999507817090086,500,20,1.0,200,-10.0,-5929458098997828861,0.0,5.0,proximity,0.19880478087649392,0.25,0.5,100,56
5,0.5498336700936752,500,20,1.0,200,-10.0,3394024269195950964,0.0,5.0,proximity,0.20932270916334653,0.25,0.5,100,52
5,0.9997581144508748,500,20,1.0,200,-10.0,5314547055806741245,0.0,5.0,proximity,0.2153386454183267,0.25,0.5,100,60
5,0.9998200235060544,500,20,1.0,200,-10.0,-4943696654853908044,0.0,5.0,proximity,0.19043824701195222,0.25,0.5,100,57
5,1.0,500,20,1.0,200,-10.0,8612256821357552274,0.0,5.0,proximity,0.20486055776892423,0.25,0.5,100,58
5,0.9999009826701223,500,20,1.0,200,-10.0,9060562138660147116,0.0,5.0,proximity,0.20749003984063744,0.25,0.5,100,59
5,0.9998075421960405,500,20,1.0,200,-10.0,7196865150084376449,0.0,5.0,proximity,0.19557768924302787,0.25,0.5,100,61
6,0.7515229443574447,500,20,1.0,200,-10.0,-8779819246153741670,5.0,1.0,proximity,0.17553784860557747,0.25,0.5,100,62
6,0.44985854659364516,500,20,1.0,200,-10.0,8378124558138308601,5.0,1.0,proximity,0.20079681274900396,0.25,0.5,100,66
6,0.5452065804461611,500,20,1.0,200,-10.0,-8682465425192738784,5.0,1.0,proximity,0.18908366533864537,0.25,0.5,100,65
6,0.6408561123293649,500,20,1.0,200,-10.0,-2455330048974037774,5.0,1.0,proximity,0.20103585657370512,0.25,0.5,100,64
6,0.49755354486959474,500,20,1.0,200,-10.0,4084317136219037095,5.0,1.0,proximity,0.1862549800796814,0.25,0.5,100,63
6,0.5560671494099801,500,20,1.0,200,-10.0,7000521370572506689,5.0,1.0,proximity,0.21282868525896415,0.25,0.5,100,67
6,0.5421175153896497,500,20,1.0,200,-10.0,-5454388765400649776,5.0,1.0,proximity,0.19334661354581667,0.25,0.5,100,69
6,0.40582211671167895,500,20,1.0,200,-10.0,-1703952487187698376,5.0,1.0,proximity,0.2036653386454183,0.25,0.5,100,70
6,0.6051304675020535,500,20,1.0,200,-10.0,8552331077927388295,5.0,1.0,proximity,0.1997609561752987,0.25,0.5,100,68
6,0.505099297943315,500,20,1.0,200,-10.0,-2892624290494272188,5.0,1.0,proximity,0.17219123505976078,0.25,0.5,100,71
7,0.5003634157114011,500,20,1.0,200,-10.0,3909447051130771928,5.0,5.0,proximity,0.21350597609561736,0.25,0.5,100,75
7,0.4499131655977644,500,20,1.0,200,-10.0,-3063198345073081807,5.0,5.0,proximity,0.2264940239043824,0.25,0.5,100,72
7,0.3609383012983916,500,20,1.0,200,-10.0,1947442103134893684,5.0,5.0,proximity,0.20633466135458173,0.25,0.5,100,76
7,0.34983335405712196,500,20,1.0,200,-10.0,7669784949420227348,5.0,5.0,proximity,0.19366533864541838,0.25,0.5,100,74
7,0.4509289393495376,500,20,1.0,200,-10.0,-2202775438184180639,5.0,5.0,proximity,0.20824701195219109,0.25,0.5,100,73
7,0.4236557073518672,500,20,1.0,200,-10.0,-5451886463613482418,5.0,5.0,proximity,0.19992031872509944,0.25,0.5,100,77
7,0.6076645443700438,500,20,1.0,200,-10.0,-1638291833490544435,5.0,5.0,proximity,0.2029880478087649,0.25,0.5,100,79
7,0.4443677176257599,500,20,1.0,200,-10.0,-2792262053658925421,5.0,5.0,proximity,0.19912350597609554,0.25,0.5,100,78
7,0.4056099817286248,500,20,1.0,200,-10.0,8330727548032059550,5.0,5.0,proximity,0.19848605577689232,0.25,0.5,100,80
7,0.4687113981889471,500,20,1.0,200,-10.0,6911336122690734114,5.0,5.0,proximity,0.18179282868525898,0.25,0.5,100,81
8,0.5564773908463688,500,20,1.0,200,-10.0,-6353193697333239460,10.0,1.0,proximity,0.1839043824701196,0.25,0.5,100,85
8,0.6066160753805488,500,20,1.0,200,-10.0,-3990455631467722357,10.0,1.0,proximity,0.18314741035856574,0.25,0.5,100,82
8,0.5119279825841453,500,20,1.0,200,-10.0,1770388873239604932,10.0,1.0,proximity,0.18115537848605573,0.25,0.5,100,87
8,0.3590831186357547,500,20,1.0,200,-10.0,8152792492722167398,10.0,1.0,proximity,0.2044621513944223,0.25,0.5,100,86
8,0.3765176547408517,500,20,1.0,200,-10.0,-5965474524154833552,10.0,1.0,proximity,0.19203187250996012,0.25,0.5,100,84
8,0.403106377170725,500,20,1.0,200,-10.0,8092357628836151931,10.0,1.0,proximity,0.1941832669322708,0.25,0.5,100,83
8,0.40557017141363866,500,20,1.0,200,-10.0,-8945224982149136882,10.0,1.0,proximity,0.20553784860557772,0.25,0.5,100,88
8,0.7033625417207743,500,20,1.0,200,-10.0,-3007372439566436167,10.0,1.0,proximity,0.20717131474103556,0.25,0.5,100,89
8,0.6285187282699682,500,20,1.0,200,-10.0,1456218706506537682,10.0,1.0,proximity,0.19848605577689235,0.25,0.5,100,90
8,0.3972293077063272,500,20,1.0,200,-10.0,-4082475905711566258,10.0,1.0,proximity,0.20326693227091638,0.25,0.5,100,91
9,0.5112787538288217,500,20,1.0,200,-10.0,-8567097726894071411,10.0,5.0,proximity,0.1921513944223108,0.25,0.5,100,93
9,0.5033426400726082,500,20,1.0,200,-10.0,-1116921988025474244,10.0,5.0,proximity,0.23187250996015926,0.25,0.5,100,92
9,0.4684955705151959,500,20,1.0,200,-10.0,-4197223975114170417,10.0,5.0,proximity,0.1930677290836653,0.25,0.5,100,97
9,0.35930160608342065,500,20,1.0,200,-10.0,-4724119716930203936,10.0,5.0,proximity,0.2013944223107569,0.25,0.5,100,94
9,0.5567903182758972,500,20,1.0,200,-10.0,8570754510076484376,10.0,5.0,proximity,0.1896812749003984,0.25,0.5,100,95
9,0.5015464441864546,500,20,1.0,200,-10.0,9035731969491131344,10.0,5.0,proximity,0.21466135458167332,0.25,0.5,100,96
9,0.4476431725245246,500,20,1.0,200,-10.0,-8307679873698215383,10.0,5.0,proximity,0.19772908366533862,0.25,0.5,100,98
9,0.581851129382605,500,20,1.0,200,-10.0,8789852842564683934,10.0,5.0,proximity,0.1926294820717131,0.25,0.5,100,101
9,0.7497357238706701,500,20,1.0,200,-10.0,4835743120920413872,10.0,5.0,proximity,0.20390438247011952,0.25,0.5,100,100
9,0.5579494415788266,500,20,1.0,200,-10.0,2888357767914453426,10.0,5.0,proximity,0.21071713147410354,0.25,0.5,100,99
10,0.9880793777498721,500,20,5.0,200,-10.0,-1211909654694713008,-10.0,1.0,proximity,0.20657370517928272,0.25,0.5,100,102
10,0.5908523967137548,500,20,5.0,200,-10.0,8117277131644577908,-10.0,1.0,proximity,0.1982470119521912,0.25,0.5,100,103
10,0.992524706070082,500,20,5.0,200,-10.0,-5845596489998134637,-10.0,1.0,proximity,0.1950597609561753,0.25,0.5,100,104
10,0.9067822022574775,500,20,5.0,200,-10.0,7762594311579936084,-10.0,1.0,proximity,0.19565737051792823,0.25,0.5,100,105
10,0.9855951156381171,500,20,5.0,200,-10.0,6839040164512575696,-10.0,1.0,proximity,0.20334661354581662,0.25,0.5,100,106
10,0.9816960674628594,500,20,5.0,200,-10.0,8740144706182361461,-10.0,1.0,proximity,0.20358565737051793,0.25,0.5,100,108
10,0.9893153928228863,500,20,5.0,200,-10.0,4626584339077083772,-10.0,1.0,proximity,0.20776892430278893,0.25,0.5,100,107
10,0.45339069595041553,500,20,5.0,200,-10.0,-2029736538551541558,-10.0,1.0,proximity,0.20350597609561769,0.25,0.5,100,109
10,1.0,500,20,5.0,200,-10.0,-1756118978190584062,-10.0,1.0,proximity,0.2020318725099602,0.25,0.5,100,111
10,0.6313498763371371,500,20,5.0,200,-10.0,-6679189194963004753,-10.0,1.0,proximity,0.19653386454183275,0.25,0.5,100,110
11,0.631179779665853,500,20,5.0,200,-10.0,-7538829174597623906,-10.0,5.0,proximity,0.19442231075697217,0.25,0.5,100,112
11,0.4589752808783875,500,20,5.0,200,-10.0,9128284294442664498,-10.0,5.0,proximity,0.21864541832669313,0.25,0.5,100,114
11,0.6030385912508772,500,20,5.0,200,-10.0,-7277451471826142568,-10.0,5.0,proximity,0.20772908366533874,0.25,0.5,100,113
11,0.5105369037356954,500,20,5.0,200,-10.0,1836210147339908078,-10.0,5.0,proximity,0.20840637450199187,0.25,0.5,100,115
11,0.5823372542602582,500,20,5.0,200,-10.0,-6375314920536367969,-10.0,5.0,proximity,0.2011553784860558,0.25,0.5,100,117
11,0.6154818920969656,500,20,5.0,200,-10.0,3723125072675443667,-10.0,5.0,proximity,0.2064940239043824,0.25,0.5,100,116
11,0.6119013334224316,500,20,5.0,200,-10.0,-6430423055386415900,-10.0,5.0,proximity,0.19976095617529882,0.25,0.5,100,118
11,0.6281080106429503,500,20,5.0,200,-10.0,-5103513177446794362,-10.0,5.0,proximity,0.2044621513944223,0.25,0.5,100,119
11,0.4153200434921375,500,20,5.0,200,-10.0,-4839820603013191420,-10.0,5.0,proximity,0.19059760956175298,0.25,0.5,100,120
11,0.6601271006651184,500,20,5.0,200,-10.0,-4344480918014902838,-10.0,5.0,proximity,0.20298804780876498,0.25,0.5,100,121
12,0.995073605719839,500,20,5.0,200,-10.0,-3512968526614590924,-5.0,1.0,proximity,0.1974103585657371,0.25,0.5,100,122
12,0.9973683140970012,500,20,5.0,200,-10.0,5008741788354214245,-5.0,1.0,proximity,0.17992031872509964,0.25,0.5,100,125
12,0.9983358072510472,500,20,5.0,200,-10.0,-3181258360218081351,-5.0,1.0,proximity,0.20565737051792832,0.25,0.5,100,124
12,0.9968000933562149,500,20,5.0,200,-10.0,-3286942411902591335,-5.0,1.0,proximity,0.20243027888446208,0.25,0.5,100,123
12,0.9971707737888973,500,20,5.0,200,-10.0,-3459039193652196384,-5.0,1.0,proximity,0.21450199203187245,0.25,0.5,100,126
12,0.9957274736323523,500,20,5.0,200,-10.0,8472531299429831140,-5.0,1.0,proximity,0.201195219123506,0.25,0.5,100,128
12,0.9958385768713255,500,20,5.0,200,-10.0,-8420331314819611202,-5.0,1.0,proximity,0.20318725099601573,0.25,0.5,100,127
12,0.9962257783323898,500,20,5.0,200,-10.0,-7108223766848290716,-5.0,1.0,proximity,0.2061752988047808,0.25,0.5,100,131
12,0.9977962548642152,500,20,5.0,200,-10.0,-6074121853927775487,-5.0,1.0,proximity,0.18904382470119524,0.25,0.5,100,130
12,0.5580546042269526,500,20,5.0,200,-10.0,-3880965706524386527,-5.0,1.0,proximity,0.20446215139442217,0.25,0.5,100,129
13,0.9958713753035779,500,20,5.0,200,-10.0,1651530035725370370,-5.0,5.0,proximity,0.19673306772908364,0.25,0.5,100,132
13,0.9964930488604599,500,20,5.0,200,-10.0,-2806716722496681653,-5.0,5.0,proximity,0.20884462151394415,0.25,0.5,100,134
13,0.9957235723043929,500,20,5.0,200,-10.0,1942804237514300298,-5.0,5.0,proximity,0.18717131474103574,0.25,0.5,100,135
13,0.9983685119305562,500,20,5.0,200,-10.0,8525354996571830500,-5.0,5.0,proximity,0.200836653386454,0.25,0.5,100,133
13,0.9940970149401883,500,20,5.0,200,-10.0,50096017472114787,-5.0,5.0,proximity,0.1895219123505977,0.25,0.5,100,137
13,0.39772166182879476,500,20,5.0,200,-10.0,5581589600515912571,-5.0,5.0,proximity,0.2018725099601594,0.25,0.5,100,136
13,0.9970948438150039,500,20,5.0,200,-10.0,9149895952181515025,-5.0,5.0,proximity,0.20215139442231067,0.25,0.5,100,138
13,0.37090063590845496,500,20,5.0,200,-10.0,-6178162737967375912,-5.0,5.0,proximity,0.20494023904382475,0.25,0.5,100,139
13,0.9981191472583074,500,20,5.0,200,-10.0,7843523597175072166,-5.0,5.0,proximity,0.20223107569721102,0.25,0.5,100,140
13,0.9958374957531306,500,20,5.0,200,-10.0,-552436364467393337,-5.0,5.0,proximity,0.20482071713147418,0.25,0.5,100,141
14,1.0,500,20,5.0,200,-10.0,-3801366855631550798,0.0,1.0,proximity,0.1966533864541833,0.25,0.5,100,142
14,1.0,500,20,5.0,200,-10.0,195963717321988929,0.0,1.0,proximity,0.1758167330677291,0.25,0.5,100,145
14,1.0,500,20,5.0,200,-10.0,2062145561367108332,0.0,1.0,proximity,0.20589641434262956,0.25,0.5,100,143
14,1.0,500,20,5.0,200,-10.0,3660617291722086679,0.0,1.0,proximity,0.18143426294820716,0.25,0.5,100,144
14,0.6449420072188452,500,20,5.0,200,-10.0,7771401849446231155,0.0,1.0,proximity,0.18880478087649402,0.25,0.5,100,147
14,1.0,500,20,5.0,200,-10.0,-6544498625827495667,0.0,1.0,proximity,0.20410358565737047,0.25,0.5,100,146
14,1.0,500,20,5.0,200,-10.0,5944695556001959728,0.0,1.0,proximity,0.2025498007968127,0.25,0.5,100,148
14,1.0,500,20,5.0,200,-10.0,-6913017940876079721,0.0,1.0,proximity,0.1945019920318725,0.25,0.5,100,151
14,1.0,500,20,5.0,200,-10.0,-1987139068574545613,0.0,1.0,proximity,0.2058964143426293,0.25,0.5,100,149
14,1.0,500,20,5.0,200,-10.0,1059558529680981405,0.0,1.0,proximity,0.1927490039840637,0.25,0.5,100,150
15,1.0,500,20,5.0,200,-10.0,-7320643281365539232,0.0,5.0,proximity,0.19011952191235065,0.25,0.5,100,152
15,1.0,500,20,5.0,200,-10.0,-2704761391614017274,0.0,5.0,proximity,0.20258964143426292,0.25,0.5,100,153
15,0.5725983292018269,500,20,5.0,200,-10.0,-2485995499235517518,0.0,5.0,proximity,0.20167330677290837,0.25,0.5,100,154
15,1.0,500,20,5.0,200,-10.0,-5310921642673465944,0.0,5.0,proximity,0.2038645418326694,0.25,0.5,100,155
15,1.0,500,20,5.0,200,-10.0,6569537047008553826,0.0,5.0,proximity,0.18952191235059762,0.25,0.5,100,157
15,1.0,500,20,5.0,200,-10.0,1121140638874257049,0.0,5.0,proximity,0.21521912350597605,0.25,0.5,100,156
15,1.0,500,20,5.0,200,-10.0,-4760961880402896515,0.0,5.0,proximity,0.21003984063745018,0.25,0.5,100,158
15,1.0,500,20,5.0,200,-10.0,-5136163410220784976,0.0,5.0,proximity,0.19749003984063748,0.25,0.5,100,159
15,1.0,500,20,5.0,200,-10.0,2558705796201357230,0.0,5.0,proximity,0.19721115537848596,0.25,0.5,100,161
15,1.0,500,20,5.0,200,-10.0,-4097448395928067111,0.0,5.0,proximity,0.2036254980079682,0.25,0.5,100,160
16,0.5307193257269556,500,20,5.0,200,-10.0,-3510011506890462184,5.0,1.0,proximity,0.18721115537848615,0.25,0.5,100,162
16,0.35648660967555035,500,20,5.0,200,-10.0,-2670378359701321640,5.0,1.0,proximity,0.20127490039840626,0.25,0.5,100,163
16,0.3252461639997749,500,20,5.0,200,-10.0,7004915833794397270,5.0,1.0,proximity,0.21450199203187237,0.25,0.5,100,164
16,0.5953810153511584,500,20,5.0,200,-10.0,-1474824537714221123,5.0,1.0,proximity,0.2082470119521912,0.25,0.5,100,166
16,0.4521681373706462,500,20,5.0,200,-10.0,1350291396903430799,5.0,1.0,proximity,0.2136254980079681,0.25,0.5,100,167
16,0.5115618573012322,500,20,5.0,200,-10.0,2736836931311987242,5.0,1.0,proximity,0.1920318725099601,0.25,0.5,100,165
16,0.5304835313940643,500,20,5.0,200,-10.0,-6417598770717946522,5.0,1.0,proximity,0.2071314741035857,0.25,0.5,100,168
16,0.5770107741000106,500,20,5.0,200,-10.0,5512591656372827663,5.0,1.0,proximity,0.2020318725099601,0.25,0.5,100,169
16,0.4384847134151282,500,20,5.0,200,-10.0,-8046185729106550091,5.0,1.0,proximity,0.20685258964143424,0.25,0.5,100,170
16,0.5611938046261636,500,20,5.0,200,-10.0,2707118621819384865,5.0,1.0,proximity,0.2087250996015936,0.25,0.5,100,171
17,0.5091229454838693,500,20,5.0,200,-10.0,-7779341981638762483,5.0,5.0,proximity,0.18868525896414343,0.25,0.5,100,172
17,0.6147585459983476,500,20,5.0,200,-10.0,5319241806225974643,5.0,5.0,proximity,0.1815139442231076,0.25,0.5,100,173
17,0.5491004724012132,500,20,5.0,200,-10.0,-7839879828305743365,5.0,5.0,proximity,0.21095617529880464,0.25,0.5,100,174
17,0.447920036338979,500,20,5.0,200,-10.0,-5283446777634421365,5.0,5.0,proximity,0.19207171314741023,0.25,0.5,100,175
17,0.4547364660366362,500,20,5.0,200,-10.0,-6179182978436187353,5.0,5.0,proximity,0.1985258964143425,0.25,0.5,100,176
17,0.403450018206214,500,20,5.0,200,-10.0,6396853851782867279,5.0,5.0,proximity,0.20023904382470128,0.25,0.5,100,177
17,0.6206459930384366,500,20,5.0,200,-10.0,7603701817889450419,5.0,5.0,proximity,0.213386454183267,0.25,0.5,100,178
17,0.3880805553096027,500,20,5.0,200,-10.0,800984483501267911,5.0,5.0,proximity,0.19677290836653386,0.25,0.5,100,180
17,0.4617400100177467,500,20,5.0,200,-10.0,-1881320276366610555,5.0,5.0,proximity,0.193386454183267,0.25,0.5,100,179
17,0.41245494719579107,500,20,5.0,200,-10.0,-8408065990353649789,5.0,5.0,proximity,0.20844621513944225,0.25,0.5,100,181
18,0.5988402521598429,500,20,5.0,200,-10.0,6811756931447753199,10.0,1.0,proximity,0.2020717131474104,0.25,0.5,100,183
18,0.5688248523256322,500,20,5.0,200,-10.0,7158835826820772230,10.0,1.0,proximity,0.19812749003984073,0.25,0.5,100,182
18,0.6095318736756727,500,20,5.0,200,-10.0,-6401663485439713790,10.0,1.0,proximity,0.2019123505976094,0.25,0.5,100,184
18,0.39481712443132755,500,20,5.0,200,-10.0,-562872577395964856,10.0,1.0,proximity,0.2012749003984064,0.25,0.5,100,185
18,0.7012657207834786,500,20,5.0,200,-10.0,879477382998111397,10.0,1.0,proximity,0.18932270916334668,0.25,0.5,100,187
18,0.38786849450066313,500,20,5.0,200,-10.0,-6516740524154187367,10.0,1.0,proximity,0.19657370517928285,0.25,0.5,100,186
18,0.4138613835419585,500,20,5.0,200,-10.0,-4722007983504494116,10.0,1.0,proximity,0.19988047808764958,0.25,0.5,100,189
18,0.399850470719738,500,20,5.0,200,-10.0,-7962027423362313678,10.0,1.0,proximity,0.20127490039840634,0.25,0.5,100,188
18,0.469194051483514,500,20,5.0,200,-10.0,3301530102651354233,10.0,1.0,proximity,0.19653386454183264,0.25,0.5,100,190
18,0.520731991315498,500,20,5.0,200,-10.0,2996694827705944034,10.0,1.0,proximity,0.18872509960159364,0.25,0.5,100,191
19,0.6939033158295468,500,20,5.0,200,-10.0,5963562555211585901,10.0,5.0,proximity,0.2081274900398406,0.25,0.5,100,194
19,0.25975577077973433,500,20,5.0,200,-10.0,5047610142643725948,10.0,5.0,proximity,0.19585657370517914,0.25,0.5,100,192
19,0.3124531759295425,500,20,5.0,200,-10.0,-4976663346220491152,10.0,5.0,proximity,0.213187250996016,0.25,0.5,100,193
19,0.4755509329755934,500,20,5.0,200,-10.0,8486011544173413197,10.0,5.0,proximity,0.19151394422310763,0.25,0.5,100,195
