id,informality,iterations,jobSeekingNumber,jobSimilarityHierarchy,jobsNumber,perceivedInformalityCoef,replication,socialNetworkCoef,socialNetworkHierarchy,socialNetworkMode,unemployment,unemploymentShare,workPermitShare,workersNumber,openmole$experiment
193,0.18804415306181485,500,20,5.0,200,10.0,-483985754669612945,-5.0,5.0,proximity,0.733147410358565,0.75,0.5,100,1938
194,0.653519468114557,500,20,5.0,200,10.0,-6443633787360296474,0.0,1.0,proximity,0.732350597609561,0.75,0.5,100,1943
199,0.3729563310130115,500,20,5.0,200,10.0,-8870260576639796358,10.0,5.0,proximity,0.7339442231075693,0.75,0.5,100,1998
193,0.16035072917940357,500,20,5.0,200,10.0,7416375361497651352,-5.0,5.0,proximity,0.7308366533864534,0.75,0.5,100,1934
192,0.12689273172357804,500,20,5.0,200,10.0,7353521225409274480,-5.0,1.0,proximity,0.7314342629482071,0.75,0.5,100,1931
191,0.5697821713089665,500,20,5.0,200,10.0,7279252574694220126,-10.0,5.0,proximity,0.7310358565737054,0.75,0.5,100,1918
193,0.6524498524788586,500,20,5.0,200,10.0,-3533582546155977121,-5.0,5.0,proximity,0.7333067729083659,0.75,0.5,100,1941
193,0.1698719530408656,500,20,5.0,200,10.0,5942940828344396945,-5.0,5.0,proximity,0.7350996015936246,0.75,0.5,100,1940
193,0.17446745598590627,500,20,5.0,200,10.0,-5838806562154347379,-5.0,5.0,proximity,0.7321912350597607,0.75,0.5,100,1936
192,0.16463902877249578,500,20,5.0,200,10.0,-8933668368158073949,-5.0,1.0,proximity,0.7354980079681268,0.75,0.5,100,1928
0,0.9649820205887227,500,20,1.0,200,-10.0,-1757433525436184585,-10.0,1.0,proximity,0.19374501992031862,0.25,0.5,100,2
0,0.9490214913309619,500,20,1.0,200,-10.0,2333011923765976646,-10.0,1.0,proximity,0.19019920318725098,0.25,0.5,100,5
0,0.608364733168481,500,20,1.0,200,-10.0,6184519855122867443,-10.0,1.0,proximity,0.19270916334661348,0.25,0.5,100,3
0,0.597208726178035,500,20,1.0,200,-10.0,6668329826996127709,-10.0,1.0,proximity,0.18517928286852597,0.25,0.5,100,10
0,0.984581507385152,500,20,1.0,200,-10.0,-2177764351516083820,-10.0,1.0,proximity,0.19223107569721115,0.25,0.5,100,6
0,0.9240829489282284,500,20,1.0,200,-10.0,-5168875063211504969,-10.0,1.0,proximity,0.20693227091633473,0.25,0.5,100,9
0,0.9686110855161353,500,20,1.0,200,-10.0,-3009425232372187272,-10.0,1.0,proximity,0.19864541832669325,0.25,0.5,100,8
0,0.5786274264850704,500,20,1.0,200,-10.0,-8808302838090210561,-10.0,1.0,proximity,0.2039840637450197,0.25,0.5,100,4
0,0.5153283831496692,500,20,1.0,200,-10.0,-700237390086747,-10.0,1.0,proximity,0.1953386454183268,0.25,0.5,100,7
0,0.6455551822688581,500,20,1.0,200,-10.0,-8066586277182646855,-10.0,1.0,proximity,0.1929482071713147,0.25,0.5,100,11
1,0.5002905405080883,500,20,1.0,200,-10.0,1758246397220569535,-10.0,5.0,proximity,0.19318725099601594,0.25,0.5,100,14
1,0.4916710456475773,500,20,1.0,200,-10.0,3919348212490336345,-10.0,5.0,proximity,0.19099601593625495,0.25,0.5,100,13
1,0.5026011996804609,500,20,1.0,200,-10.0,-5768615251051357616,-10.0,5.0,proximity,0.20374501992031868,0.25,0.5,100,16
1,0.6249700952529076,500,20,1.0,200,-10.0,2729115160905272291,-10.0,5.0,proximity,0.20043824701195218,0.25,0.5,100,20
1,0.6305855339356164,500,20,1.0,200,-10.0,8280628618341595332,-10.0,5.0,proximity,0.20135458167330678,0.25,0.5,100,15
1,0.6433595597363163,500,20,1.0,200,-10.0,-3387803114476238377,-10.0,5.0,proximity,0.21856573705179275,0.25,0.5,100,18
1,0.5384076966543863,500,20,1.0,200,-10.0,-3639026944572559496,-10.0,5.0,proximity,0.19633466135458155,0.25,0.5,100,12
1,0.49888693005844126,500,20,1.0,200,-10.0,-3271446477227905581,-10.0,5.0,proximity,0.20999999999999985,0.25,0.5,100,17
1,0.62124501459307,500,20,1.0,200,-10.0,-5058765449962439773,-10.0,5.0,proximity,0.1899203187250995,0.25,0.5,100,21
