output,unemploymentShare,workPermitShare,jobSeekingNumber,perceivedInformalityCoef,jobSimilarityHierarchy,socialNetworkCoef,socialNetworkHierarchy,socialNetworkMode,replication
informality,-0.37825860861603444,-0.3783861494475376,0,-0.378107046319291,-0.37885155664454373,-0.37893072775405634,-0.37830434111337014,-0.25392437213402025,0.0
unemployment,0.002371922046697407,0.01671726348612166,0,0.29192380787176186,-2.799389065206525E-4,0.22669076327439613,-0.00271801920844746,0.0029103942197193826,0.0
