output,unemploymentShare,workPermitShare,jobSeekingNumber,perceivedInformalityCoef,jobSimilarityHierarchy,socialNetworkCoef,socialNetworkHierarchy,socialNetworkMode,replication
informality,0.3793795583658721,0.37947216054921307,0,0.3792088152388995,0.37992830312106435,0.3800478223942422,0.37920330614069464,0.2545352338887254,0.0
unemployment,0.012713955694705988,0.06732186513282042,0,0.715255987384055,0.0703781276508001,0.6493143006404277,0.016671745263783552,0.011945482902194444,0.0
